Country Code,Country,Year,Health Expenditure Share of ppp per capita
MNE,Montenegro,2014,1184.72
MNE,Montenegro,2015,1416.438
MNE,Montenegro,2016,1527.709
MNE,Montenegro,2017,1516.019
MNE,Montenegro,2018,1720.252
MNE,Montenegro,2019,1930.107
MNE,Montenegro,2020,2220.799
MNE,Montenegro,2021,2494.319
MNE,Montenegro,2022,2761.563
MNE,Montenegro,2023,2842.068
MNE,Montenegro,2024,3219.332
NLD,Netherlands,2000,2647.971
NLD,Netherlands,2001,2883.556
NLD,Netherlands,2002,3296.97
NLD,Netherlands,2003,3307.608
NLD,Netherlands,2004,3493.656
NLD,Netherlands,2005,3583.435
NLD,Netherlands,2006,3828.004
NLD,Netherlands,2007,4077.206
NLD,Netherlands,2008,4378.362
NLD,Netherlands,2009,4438.013
NLD,Netherlands,2010,4471.687
NLD,Netherlands,2011,4567.378
NLD,Netherlands,2012,4782.333
NLD,Netherlands,2013,4923.912
NLD,Netherlands,2014,4934.568
NLD,Netherlands,2015,4927.104
NLD,Netherlands,2016,5095.836
NLD,Netherlands,2017,5253.774
NLD,Netherlands,2018,5482.27
NLD,Netherlands,2019,5908.388
NLD,Netherlands,2020,6515.942
NLD,Netherlands,2021,7332.629
NLD,Netherlands,2022,7726.056
NLD,Netherlands,2023,8151.366
NLD,Netherlands,2024,8695.625
NLD,Netherlands,2025,8965.505
NZL,New Zealand,2000,1659.525
NZL,New Zealand,2001,1800.582
NZL,New Zealand,2002,1920.964
NZL,New Zealand,2003,1918.176
NZL,New Zealand,2004,2077.661
NZL,New Zealand,2005,2194.439
NZL,New Zealand,2006,2437.757
NZL,New Zealand,2007,2538.863
NZL,New Zealand,2008,2689.369
NZL,New Zealand,2009,2804.479
NZL,New Zealand,2010,2890.593
NZL,New Zealand,2011,3000.08
NZL,New Zealand,2012,3095.458
NZL,New Zealand,2013,3237.704
NZL,New Zealand,2014,3334.7
NZL,New Zealand,2015,3355.062
NZL,New Zealand,2016,3545.639
NZL,New Zealand,2017,3694.968
NZL,New Zealand,2018,3712.001
NZL,New Zealand,2019,4003.766
NZL,New Zealand,2020,4352.668
NZL,New Zealand,2021,4869.351
NZL,New Zealand,2022,6158.614
NZL,New Zealand,2023,6059.011
NZL,New Zealand,2024,6067.146
NZL,New Zealand,2025,6057.334
MKD,North Macedonia,2000,549.105
MKD,North Macedonia,2001,522.246
MKD,North Macedonia,2002,572.198
MKD,North Macedonia,2003,546.742
MKD,North Macedonia,2004,542.181
MKD,North Macedonia,2005,538.826
MKD,North Macedonia,2006,556.404
MKD,North Macedonia,2007,543.395
MKD,North Macedonia,2008,600.182
MKD,North Macedonia,2009,629.185
MKD,North Macedonia,2010,680.208
MKD,North Macedonia,2011,688.748
MKD,North Macedonia,2012,702.989
MKD,North Macedonia,2013,773.918
MKD,North Macedonia,2014,770.497
MKD,North Macedonia,2015,818.857
MKD,North Macedonia,2016,903.562
MKD,North Macedonia,2017,944.536
MKD,North Macedonia,2018,1011.859
MKD,North Macedonia,2019,1194.017
MKD,North Macedonia,2020,1258.938
MKD,North Macedonia,2021,1667.209
MKD,North Macedonia,2022,1701.157
MKD,North Macedonia,2023,1885.715
NOR,Norway,2000,2794.313
NOR,Norway,2001,2938.832
NOR,Norway,2002,3389.226
NOR,Norway,2003,3446.63
NOR,Norway,2004,3654.467
NOR,Norway,2005,3740.873
NOR,Norway,2006,3964.539
NOR,Norway,2007,4312.114
NOR,Norway,2008,4604.504
NOR,Norway,2009,4680.34
NOR,Norway,2010,4774.102
NOR,Norway,2011,4965.184
NOR,Norway,2012,5209.577
NOR,Norway,2013,5485.288
NOR,Norway,2014,5707.159
NOR,Norway,2015,5725.456
NOR,Norway,2016,5902.381
NOR,Norway,2017,6234.379
NOR,Norway,2018,6495.078
NOR,Norway,2019,6907.682
NOR,Norway,2020,7220.869
NOR,Norway,2021,7889.755
NOR,Norway,2022,8641.832
NOR,Norway,2023,9063.33
NOR,Norway,2024,9243.464
NOR,Norway,2025,9204.065
PER,Peru,2011,499.857
PER,Peru,2012,548.647
PER,Peru,2013,571.062
PER,Peru,2014,602.092
PER,Peru,2015,605.277
PER,Peru,2016,622.484
PER,Peru,2017,617.645
PER,Peru,2018,678.926
PER,Peru,2019,705.779
PER,Peru,2020,817.119
PER,Peru,2021,1019.918
PER,Peru,2022,1009.963
PER,Peru,2023,960.536
PER,Peru,2024,977.738
POL,Poland,2000,604.26
POL,Poland,2001,668.479
POL,Poland,2002,774.069
POL,Poland,2003,781.282
POL,Poland,2004,837.259
POL,Poland,2005,834.605
POL,Poland,2006,902.988
POL,Poland,2007,1051.012
POL,Poland,2008,1222.748
POL,Poland,2009,1313.749
POL,Poland,2010,1422.504
POL,Poland,2011,1496.615
POL,Poland,2012,1578.599
POL,Poland,2013,1670.783
POL,Poland,2014,1687.056
POL,Poland,2015,1818.883
POL,Poland,2016,1959.094
POL,Poland,2017,2062.735
POL,Poland,2018,2106.662
POL,Poland,2019,2391.57
POL,Poland,2020,2510.275
POL,Poland,2021,2788.216
POL,Poland,2022,3263.279
POL,Poland,2023,3711.453
POL,Poland,2024,4327.855
POL,Poland,2025,5126.955
PRT,Portugal,2000,1646.881
PRT,Portugal,2001,1715.434
PRT,Portugal,2002,1843.474
PRT,Portugal,2003,1926.265
PRT,Portugal,2004,2090.485
PRT,Portugal,2005,2189.523
PRT,Portugal,2006,2246.992
PRT,Portugal,2007,2307.577
PRT,Portugal,2008,2456.767
PRT,Portugal,2009,2524.76
PRT,Portugal,2010,2592.109
PRT,Portugal,2011,2469.995
PRT,Portugal,2012,2435.331
PRT,Portugal,2013,2519.455
PRT,Portugal,2014,2555.043
PRT,Portugal,2015,2653.268
PRT,Portugal,2016,2828.767
PRT,Portugal,2017,2921.627
PRT,Portugal,2018,3145.68
PRT,Portugal,2019,3444.964
PRT,Portugal,2020,3599.297
PRT,Portugal,2021,4208.078
PRT,Portugal,2022,4689.556
PRT,Portugal,2023,5005.462
PRT,Portugal,2024,5374.811
PRT,Portugal,2025,5633.636
ROU,Romania,2003,399.26
ROU,Romania,2004,482.365
ROU,Romania,2005,505.255
ROU,Romania,2006,539.631
ROU,Romania,2007,635.754
ROU,Romania,2008,778.178
ROU,Romania,2009,799.976
ROU,Romania,2010,919.907
ROU,Romania,2011,794.484
ROU,Romania,2012,835.72
ROU,Romania,2013,969.238
ROU,Romania,2014,988.755
ROU,Romania,2015,1021.293
ROU,Romania,2016,1169.204
ROU,Romania,2017,1326.402
ROU,Romania,2018,1574.858
ROU,Romania,2019,1852.701
ROU,Romania,2020,2076.3
ROU,Romania,2021,2397.014
ROU,Romania,2022,2385.914
ROU,Romania,2023,2711.138
ROU,Romania,2024,3066.539
SRB,Serbia,2000,335.431
SRB,Serbia,2001,377.011
SRB,Serbia,2002,484.216
SRB,Serbia,2003,519.023
SRB,Serbia,2004,585.545
SRB,Serbia,2005,682.984
SRB,Serbia,2006,768.263
SRB,Serbia,2007,927.592
SRB,Serbia,2008,1050.208
SRB,Serbia,2009,1040.03
SRB,Serbia,2010,1106.041
SRB,Serbia,2011,1143.845
SRB,Serbia,2012,1194.534
SRB,Serbia,2013,1241.559
SRB,Serbia,2014,1252.762
SRB,Serbia,2015,1240.665
SRB,Serbia,2016,1268.127
SRB,Serbia,2017,1279.148
SRB,Serbia,2018,1432.255
SRB,Serbia,2019,1606.871
SRB,Serbia,2020,1628.662
SRB,Serbia,2021,2038.708
SRB,Serbia,2022,2117.659
SRB,Serbia,2023,2389.872
SRB,Serbia,2024,2517.457
SVK,Slovak Republic,2000,690.606
SVK,Slovak Republic,2001,758.991
SVK,Slovak Republic,2002,868.625
SVK,Slovak Republic,2003,876.243
SVK,Slovak Republic,2004,1100.297
SVK,Slovak Republic,2005,1191.447
SVK,Slovak Republic,2006,1342.043
SVK,Slovak Republic,2007,1584.545
SVK,Slovak Republic,2008,1687.058
SVK,Slovak Republic,2009,1810.93
SVK,Slovak Republic,2010,2009.976
SVK,Slovak Republic,2011,1974.761
SVK,Slovak Republic,2012,2097.401
SVK,Slovak Republic,2013,2153.698
SVK,Slovak Republic,2014,2010.11
SVK,Slovak Republic,2015,2059.132
SVK,Slovak Republic,2016,2039.611
SVK,Slovak Republic,2017,1974.466
SVK,Slovak Republic,2018,2008.975
SVK,Slovak Republic,2019,2282.531
SVK,Slovak Republic,2020,2448.986
SVK,Slovak Republic,2021,2921.945
SVK,Slovak Republic,2022,3185.926
SVK,Slovak Republic,2023,3484.26
SVK,Slovak Republic,2024,3923.089
SVK,Slovak Republic,2025,4061.4
SVN,Slovenia,2000,1464.331
SVN,Slovenia,2001,1554.216
SVN,Slovenia,2002,1736.558
SVN,Slovenia,2003,1785.726
SVN,Slovenia,2004,1857.221
SVN,Slovenia,2005,1900.012
SVN,Slovenia,2006,1985.665
SVN,Slovenia,2007,2066.184
SVN,Slovenia,2008,2297.536
SVN,Slovenia,2009,2267.988
SVN,Slovenia,2010,2317.976
SVN,Slovenia,2011,2376.637
SVN,Slovenia,2012,2431.003
SVN,Slovenia,2013,2495.279
SVN,Slovenia,2014,2499.108
SVN,Slovenia,2015,2579.281
SVN,Slovenia,2016,2738.221
SVN,Slovenia,2017,2832.649
SVN,Slovenia,2018,3045.106
SVN,Slovenia,2019,3435.496
SVN,Slovenia,2020,3756.19
SVN,Slovenia,2021,4204.48
SVN,Slovenia,2022,4814.227
SVN,Slovenia,2023,5183.874
SVN,Slovenia,2024,5380.669
SVN,Slovenia,2025,5689.616
ZAF,South Africa,2011,1064.798
ZAF,South Africa,2012,1093.358
ZAF,South Africa,2013,1135.368
ZAF,South Africa,2014,1099.438
ZAF,South Africa,2015,1134.912
ZAF,South Africa,2016,1147.606
ZAF,South Africa,2017,1138.201
ZAF,South Africa,2018,1129.012
ZAF,South Africa,2019,1151.622
ZAF,South Africa,2020,1199.051
ZAF,South Africa,2021,1244.938
ZAF,South Africa,2022,1354.379
ZAF,South Africa,2023,1423.985
ESP,Spain,2000,1524.369
ESP,Spain,2001,1635.854
ESP,Spain,2002,1803.5
ESP,Spain,2003,2023.046
ESP,Spain,2004,2131.152
ESP,Spain,2005,2227.509
ESP,Spain,2006,2408.628
ESP,Spain,2007,2503.294
ESP,Spain,2008,2693.857
ESP,Spain,2009,2769.351
ESP,Spain,2010,2762.449
ESP,Spain,2011,2761.446
ESP,Spain,2012,2760.393
ESP,Spain,2013,2800.97
ESP,Spain,2014,2897.472
ESP,Spain,2015,3064.122
ESP,Spain,2016,3198.021
ESP,Spain,2017,3369.692
ESP,Spain,2018,3480.979
ESP,Spain,2019,3822.099
ESP,Spain,2020,3996.229
ESP,Spain,2021,4405.28
ESP,Spain,2022,4841.01
ESP,Spain,2023,5250.573
ESP,Spain,2024,5349.139
ESP,Spain,2025,5410.878
SWE,Sweden,2000,2196.52
SWE,Sweden,2001,2398.57
SWE,Sweden,2002,2634.873
SWE,Sweden,2003,2672.563
SWE,Sweden,2004,2772.509
SWE,Sweden,2005,2810.035
SWE,Sweden,2006,3000.961
SWE,Sweden,2007,3215.033
SWE,Sweden,2008,3402.014
SWE,Sweden,2009,3439.68
SWE,Sweden,2010,3409.541
SWE,Sweden,2011,4468.222
SWE,Sweden,2012,4699.39
SWE,Sweden,2013,4745.65
SWE,Sweden,2014,4884.905
SWE,Sweden,2015,5028.591
SWE,Sweden,2016,5161.533
SWE,Sweden,2017,5248.824
SWE,Sweden,2018,5451.423
SWE,Sweden,2019,5790.793
SWE,Sweden,2020,6067.976
SWE,Sweden,2021,6615.518
SWE,Sweden,2022,7056.99
SWE,Sweden,2023,7654.95
SWE,Sweden,2024,7905.695
SWE,Sweden,2025,7819.137
CHE,Switzerland,2000,3327.067
CHE,Switzerland,2001,3555.288
CHE,Switzerland,2002,3887.068
CHE,Switzerland,2003,3914.828
CHE,Switzerland,2004,4107.752
CHE,Switzerland,2005,4106.058
CHE,Switzerland,2006,4232.636
CHE,Switzerland,2007,4597.507
CHE,Switzerland,2008,4905.058
CHE,Switzerland,2009,5059.531
CHE,Switzerland,2010,5076.002
CHE,Switzerland,2011,5258.917
CHE,Switzerland,2012,5566.075
CHE,Switzerland,2013,5944.008
CHE,Switzerland,2014,6126.465
CHE,Switzerland,2015,6377.217
CHE,Switzerland,2016,6674.485
CHE,Switzerland,2017,6713.317
CHE,Switzerland,2018,6838.268
CHE,Switzerland,2019,7356.446
CHE,Switzerland,2020,7621.094
CHE,Switzerland,2021,8391.694
CHE,Switzerland,2022,9089.356
CHE,Switzerland,2023,9245.644
CHE,Switzerland,2024,9926.659
CHE,Switzerland,2025,10634.291
THA,Thailand,2011,495.601
THA,Thailand,2012,542.657
THA,Thailand,2013,545.365
THA,Thailand,2014,583.88
THA,Thailand,2015,626.957
THA,Thailand,2016,671.13
THA,Thailand,2017,712.858
THA,Thailand,2018,764.201
THA,Thailand,2019,787.034
THA,Thailand,2020,862.43
THA,Thailand,2021,1077.129
THA,Thailand,2022,1230.245
THA,Thailand,2023,1059.847
THA,Thailand,2024,1107.527
TUR,Türkiye,2000,432.141
TUR,Türkiye,2001,472.976
TUR,Türkiye,2002,519.978
TUR,Türkiye,2003,509.673
TUR,Türkiye,2004,558.553
TUR,Türkiye,2005,588.128
TUR,Türkiye,2006,677.859
TUR,Türkiye,2007,733.393
TUR,Türkiye,2008,807.052
TUR,Türkiye,2009,815.119
TUR,Türkiye,2010,843.709
TUR,Türkiye,2011,888.309
TUR,Türkiye,2012,894.741
TUR,Türkiye,2013,947.74
TUR,Türkiye,2014,1006.772
TUR,Türkiye,2015,1040.373
TUR,Türkiye,2016,1128.754
TUR,Türkiye,2017,1175.655
TUR,Türkiye,2018,1205.305
TUR,Türkiye,2019,1310.831
TUR,Türkiye,2020,1382.389
TUR,Türkiye,2021,1588.325
TUR,Türkiye,2022,1653.818
TUR,Türkiye,2023,2102.528
TUR,Türkiye,2024,2479.288
TUR,Türkiye,2025,2395.01
UKR,Ukraine,2011,679.433
UKR,Ukraine,2012,752.477
UKR,Ukraine,2013,791.043
UKR,Ukraine,2014,800.445
UKR,Ukraine,2015,818.844
UKR,Ukraine,2016,870.686
UKR,Ukraine,2017,910.939
UKR,Ukraine,2018,964.87
UKR,Ukraine,2019,996.136
UKR,Ukraine,2020,1161.109
UKR,Ukraine,2021,1511.5
GBR,United Kingdom,2000,1909.329
GBR,United Kingdom,2001,2114.794
GBR,United Kingdom,2002,2370.239
GBR,United Kingdom,2003,2487.596
GBR,United Kingdom,2004,2756.626
GBR,United Kingdom,2005,2759.466
GBR,United Kingdom,2006,2943.98
GBR,United Kingdom,2007,3095.653
GBR,United Kingdom,2008,3225.398
GBR,United Kingdom,2009,3274.501
GBR,United Kingdom,2010,3406.949
GBR,United Kingdom,2011,3456.35
GBR,United Kingdom,2012,3630.305
GBR,United Kingdom,2013,3690.732
GBR,United Kingdom,2014,3787.138
GBR,United Kingdom,2015,3847.832
GBR,United Kingdom,2016,3997.019
GBR,United Kingdom,2017,4101.825
GBR,United Kingdom,2018,4223.095
GBR,United Kingdom,2019,4572.812
GBR,United Kingdom,2020,5408.519
GBR,United Kingdom,2021,5823.679
GBR,United Kingdom,2022,6274.233
GBR,United Kingdom,2023,6664.45
GBR,United Kingdom,2024,7008.285
GBR,United Kingdom,2025,7327.645
USA,United States,2000,4534.731
USA,United States,2001,4886.511
USA,United States,2002,5316.225
USA,United States,2003,5727.067
USA,United States,2004,6069.673
USA,United States,2005,6431.89
USA,United States,2006,6806.112
USA,United States,2007,7163.76
USA,United States,2008,7381.521
USA,United States,2009,7641.851
USA,United States,2010,7875.817
USA,United States,2011,8073.473
USA,United States,2012,8338.512
USA,United States,2013,8512.133
USA,United States,2014,8928.283
USA,United States,2015,9360.445
USA,United States,2016,9727.216
USA,United States,2017,10045.443
USA,United States,2018,10486.068
USA,United States,2019,10922.221
USA,United States,2020,12076.794
USA,United States,2021,12523.743
USA,United States,2022,13061.949
USA,United States,2023,13932.605
USA,United States,2024,14823.139
USA,United States,2025,15843.279
